# COTAHIST archives are intentionally local and ignored by Git. Source index: https://www.b3.com.br/pt_br/market-data-e-indices/servicos-de-dados/market-data/historico/mercado-a-vista/series-historicas/
# This manifest records the exact bytes collected on 2026-09-08. max_trading_date is verified only for the incomplete current-year archive; the importer is not implemented yet.
year,file,size_bytes,sha256,collected_at,max_trading_date,coverage_verified
1986,COTAHIST_A1986.zip,8713632,350e6086c8f991484832ca3cd23e900b692769bfd3311017800231fd896c8018,2026-09-08T00:04:27-03:00,,false
1987,COTAHIST_A1987.zip,6349827,16db2bbda8cf770ad177af762c6e651422dee7b1dc7a62ea75fa10e5760f517d,2026-09-08T01:02:53-03:00,,false
1988,COTAHIST_A1988.zip,8122653,b99563d58d2c58ba4c910545fc969041499a45e4e2f6649829a67702193a88ee,2026-09-08T01:03:58-03:00,,false
1989,COTAHIST_A1989.zip,7510968,9f2d468dbbd9ff2ffcf960501cbb0a66d3921ecd7fbb9305a8c6269f302c503d,2026-09-08T01:05:18-03:00,,false
1990,COTAHIST_A1990.zip,5352193,85dd3ad24b0d9742c0d438e91ecec2ff07ef38e381c075469b9d0829c9f95619,2026-09-08T01:05:50-03:00,,false
1991,COTAHIST_A1991.zip,5476429,9c83ede3d78ca1588309f0934c7cbfdbdfd047287c69b44d17ddfa43e4e82262,2026-09-08T01:06:09-03:00,,false
1992,COTAHIST_A1992.zip,5214684,50a35c8c409ee49bfb0fcc1773f687548af85e1c2bf81756f7ef2b89ee035939,2026-09-08T01:07:14-03:00,,false
1993,COTAHIST_A1993.zip,5893559,f63c13905d712e74f69610511d8000b4231644a89bd60d47af1e21209709ecad,2026-09-08T01:07:29-03:00,,false
1994,COTAHIST_A1994.zip,5998158,b3bbd8e8d290c36943398c6f99a04e0721db2ebac3b917904df9efaacf3172eb,2026-09-08T01:08:05-03:00,,false
1995,COTAHIST_A1995.zip,5277341,de553f41a3ce15ec8a082ed1c2d451df58520a447d3f39417f45e7feb5a995fc,2026-09-08T01:08:20-03:00,,false
1996,COTAHIST_A1996.zip,5598339,911a993548931f56b1b3dc18d2994c67f5d011cf7a85986029384298f17d6800,2026-09-08T01:08:32-03:00,,false
1997,COTAHIST_A1997.zip,6094245,f6bd380e753ec8024857b739b7d9b010c7467a5fd967e82d01186a46f5e33fc3,2026-09-08T01:08:41-03:00,,false
1998,COTAHIST_A1998.zip,5384840,91a2d516686a0d0ff133254df2595f44d23d9b7ecf1966a11ef4c2beeacec440,2026-09-08T01:09:27-03:00,,false
1999,COTAHIST_A1999.zip,6675159,fe7428b367a2d40acaefe823fd5080254d07f9ad6c29fc64c9e6876cbd876f09,2026-09-08T01:09:38-03:00,,false
2000,COTAHIST_A2000.zip,6689526,77ba58b5138e384be140759bf836e8cc22189cdfecdf80e4c13672c535f42bd6,2026-09-08T01:10:00-03:00,,false
2001,COTAHIST_A2001.zip,4978023,0386ca1b80d207ef9876fe64c2d48e9af1b827b3ecc0365c0e99db5cacf20eb5,2026-09-08T01:10:20-03:00,,false
2002,COTAHIST_A2002.zip,5877292,ee002b9a533d310351ed07ccb3a8cd3badd84993a4969c5b58088d738de59116,2026-09-08T01:10:44-03:00,,false
2003,COTAHIST_A2003.zip,6901239,bcd337ebc1d92c190c4d8b77f582d2ec0890a8705fd5c10d68b28fa1eb15a2f0,2026-09-08T01:11:13-03:00,,false
2004,COTAHIST_A2004.zip,7902413,f750ba8ee9e25299ed96811979befb29315d91667fedc3885c709440b4989467,2026-09-08T01:11:25-03:00,,false
2005,COTAHIST_A2005.zip,8533024,41eac6d743d9c3e812bb001c4d327582fa7c408dbc99ff4a1734698da8b18f52,2026-09-08T01:11:47-03:00,,false
2006,COTAHIST_A2006.zip,9318595,b5432089f8788ea122b4102cd1f09b1a0a3436c176b8f8c548eef50ec3e02687,2026-09-08T01:12:00-03:00,,false
